2017-10-07 15:25:32 status unpacked libsystemd0:armhf 229-4ubuntu4
2017-10-07 15:25:32 status unpacked libsystemd0:armhf 229-4ubuntu4
2017-10-07 15:25:32 install libtinfo5:armhf <none> 6.0+20160213-1ubuntu1
2017-10-07 15:25:32 status half-installed libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:32 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:32 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:32 install libudev1:armhf <none> 229-4ubuntu4
2017-10-07 15:25:32 status half-installed libudev1:armhf 229-4ubuntu4
2017-10-07 15:25:32 status unpacked libudev1:armhf 229-4ubuntu4
2017-10-07 15:25:32 status unpacked libudev1:armhf 229-4ubuntu4
2017-10-07 15:25:32 install libustr-1.0-1:armhf <none> 1.0.4-5
2017-10-07 15:25:32 status half-installed libustr-1.0-1:armhf 1.0.4-5
2017-10-07 15:25:32 status unpacked libustr-1.0-1:armhf 1.0.4-5
2017-10-07 15:25:32 status unpacked libustr-1.0-1:armhf 1.0.4-5
2017-10-07 15:25:32 install libuuid1:armhf <none> 2.27.1-6ubuntu3
2017-10-07 15:25:32 status half-installed libuuid1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:32 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:32 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
